Project Type,City,County,Digester Type,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),Receiving Utility,Total Emission Reductions (MTCO2e/yr),Awarded USDA Funding?
Farm Scale,Morrilton,Conway,Covered Lagoon,Swine,,,,4200,1814400,,Flared Full-time,,4482.755303,
Farm Scale,Buckeye,Maricopa,Mixed Plug Flow,Dairy,,11760,,,,,Pipeline Gas,Southwest Gas,14030.12898,Yes
Farm Scale,Eloy,Pinal,Unknown or Unspecified,Dairy,,8800,,,,,Pipeline Gas,,98999.89016,
Centralized/Regional,Maricopa,Pinal,Complete Mix,Dairy,,30000,,,3454500,,Pipeline Gas,Kinger Morgan El Paso,337499.6255,
Farm Scale,Gila Bend,Maricopa,Complete Mix,Dairy,,10000,,,,,CNG,Southwest Gas Company,100569.4934,
Farm Scale,Buckeye,Maricopa,Covered Lagoon,Dairy,,15000,,,,5256000,Electricity,Arizona Public Service,154991.5499,
Farm Scale,Tonopah,Maricopa,Mixed Plug Flow,Dairy,,4954,,,,,Pipeline Gas,,55732.43816,
Farm Scale,Buckeye,Maricopa,Covered Lagoon,Dairy,,4000,,,,4467600,Cogeneration,Arizona Public Service Co.,43517.70212,
Farm Scale,Pixley,Tulare,Covered Lagoon,Dairy,,5000,,,,,CNG,SoCalGas,44457.70449,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,15500,,,600000,16206000,Electricity,PG&E,118993.7387,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,1700,,,50000,4204800,Electricity,PG&E,16291.4353,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,9700,,,270000,7600000,Cogeneration; Refrigeration,,91668.14512,
Multiple Farm/Facility,Bakersfield,Kern,Covered Lagoon,Dairy,,7000,,,360000,6700000,Electricity; CNG,Pacific Gas and Electric Company,67019.11909,
Farm Scale,Buttonwillow,Kern,Covered Lagoon,Dairy,,7000,,,,7600000,Electricity,,67660.98469,
Farm Scale,Ceres,Stanislaus,Covered Lagoon,Dairy,,4300,,,,,Boiler/Furnace fuel; CNG,Pacific Gas and Electric Company,38233.62586,
Farm Scale,Denair,Stanislaus,Covered Lagoon,Dairy,,5000,,,,,CNG,Pacific Gas and Electric,44457.70449,
Farm Scale,Hilmar,Merced,Covered Lagoon,Dairy,,6500,,,325000,,CNG,Pacific Gas and Electric,57795.01584,
Farm Scale,Crows Landing,Stanislaus,Covered Lagoon,Dairy,,4750,,,237500,,CNG,Pacific Gas and Electric,28562.46694,
Farm Scale,Buttonwillow,Kern,Covered Lagoon,Dairy,,6500,,,,,CNG,,57795.01584,
Farm Scale,Crows Landing,Stanislaus,Covered Lagoon,Dairy,,2000,,,100000,,CNG,Pacific Gas and Electric,17783.0818,
Farm Scale,Dos Palos,Merced,Complete Mix,Dairy,,5420,,,,,Pipeline Gas,,39193.24563,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,2000,,,100000,,CNG,,17783.0818,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,7700,,,385000,,CNG,,68464.86492,
Farm Scale,Wasco,Kern,Covered Lagoon,Dairy,,4000,,,200000,,CNG,SoCalGas,35566.16359,
Farm Scale,Kerman,Fresno,Covered Lagoon,Dairy,,19100,,,955000,,Electricity,,65144.47322,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,5700,,,,,CNG,,50681.78312,
Farm Scale,Point Reyes Station,Marin,Covered Lagoon,Dairy,,400,,,30000,,Cogeneration,Pacific Gas and Electric Company,3972.074567,Yes
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,6700,,,804000,,CNG,,64914.92954,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,6900,,,345000,,CNG,,61351.6322,
