Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
ACURA,COMPACT,2,4,AS5,Z,8.5,33,196
ACURA,COMPACT,2.4,4,M6,Z,9.6,29,221
ACURA,COMPACT,1.5,4,AV7,Z,5.9,48,136
ACURA,SUV - SMALL,3.5,6,AS6,Z,11.1,25,255
ACURA,SUV - SMALL,3.5,6,AS6,Z,10.6,27,244
ACURA,MID-SIZE,3.5,6,AS6,Z,10,28,230
ACURA,MID-SIZE,3.5,6,AS6,Z,10.1,28,232
ACURA,MID-SIZE,3.7,6,AS6,Z,11.1,25,255
ACURA,MID-SIZE,3.7,6,M6,Z,11.6,24,267
ACURA,COMPACT,2.4,4,AS5,Z,9.2,31,212
ACURA,COMPACT,2.4,4,M6,Z,9.8,29,225
ACURA,COMPACT,3.5,6,AS5,Z,10.4,27,239
ALFA ROMEO,TWO-SEATER,1.8,4,AM6,Z,8.4,34,193
ASTON MARTIN,MINICOMPACT,5.9,12,A6,Z,15.6,18,359
ASTON MARTIN,SUBCOMPACT,5.9,12,A6,Z,15.6,18,359
ASTON MARTIN,TWO-SEATER,4.7,8,AM7,Z,14.7,19,338
ASTON MARTIN,TWO-SEATER,4.7,8,M6,Z,15.4,18,354
ASTON MARTIN,TWO-SEATER,4.7,8,AM7,Z,14.7,19,338
ASTON MARTIN,TWO-SEATER,4.7,8,M6,Z,15.4,18,354
ASTON MARTIN,MINICOMPACT,5.9,12,A6,Z,15.6,18,359
AUDI,COMPACT,2,4,AV8,Z,8.8,32,202
AUDI,COMPACT,2,4,AS8,Z,10,28,230
AUDI,COMPACT,2,4,M6,Z,9.3,30,214
AUDI,SUBCOMPACT,2,4,AS8,Z,10,28,230
AUDI,SUBCOMPACT,2,4,AS8,Z,10,28,230
AUDI,SUBCOMPACT,2,4,M6,Z,9.3,30,214
AUDI,MID-SIZE,2,4,AS8,Z,10.2,28,235
AUDI,MID-SIZE,3,6,AS8,Z,10.9,26,251
AUDI,MID-SIZE,3,6,AS8,D,8.1,35,217
AUDI,MID-SIZE,3,6,AS8,Z,11.2,25,262
AUDI,MID-SIZE,3,6,AS8,D,8.1,35,217
AUDI,MID-SIZE,3,6,AS8,Z,11.2,25,258
AUDI,MID-SIZE,4,8,AS8,Z,11.3,25,265
AUDI,MID-SIZE,3,6,AS8,D,8.4,34,224
AUDI,FULL-SIZE,3,6,AS8,Z,11.2,25,258
AUDI,FULL-SIZE,4,8,AS8,Z,12.5,23,288
AUDI,FULL-SIZE,6.3,12,AS8,Z,15.5,18,363
AUDI,FULL-SIZE,3,6,AS8,D,8.4,34,224
AUDI,STATION WAGON - SMALL,2,4,AS8,Z,10.5,27,242
AUDI,SUV - SMALL,2,4,AS8,Z,10.4,27,239
AUDI,SUV - SMALL,3,6,AS8,Z,11.2,25,258
AUDI,SUV - SMALL,3,6,AS8,D,9,31,244
AUDI,SUV - SMALL,2,4,AS8,Z,9.2,31,212
AUDI,SUV - STANDARD,3,6,AS8,Z,13.2,21,304
AUDI,SUV - STANDARD,3,6,AS8,D,10.7,26,290
AUDI,TWO-SEATER,4.2,8,A7,Z,14.6,19,336
AUDI,TWO-SEATER,4.2,8,M6,Z,17.7,16,407
AUDI,TWO-SEATER,5.2,10,A7,Z,14.8,19,347
AUDI,TWO-SEATER,5.2,10,M6,Z,17.8,16,409
AUDI,TWO-SEATER,4.2,8,A7,Z,14.6,19,336
AUDI,TWO-SEATER,4.2,8,M6,Z,17.7,16,407
AUDI,TWO-SEATER,5.2,10,A7,Z,14.8,19,347
AUDI,TWO-SEATER,5.2,10,M6,Z,17.8,16,409
AUDI,SUBCOMPACT,4.2,8,A7,Z,13.3,21,306
AUDI,SUBCOMPACT,4.2,8,A7,Z,13.4,21,308
AUDI,MID-SIZE,4,8,AS8,Z,12.5,23,293
AUDI,COMPACT,3,6,A7,Z,11.4,25,262
AUDI,COMPACT,3,6,M6,Z,12.4,23,285
AUDI,SUBCOMPACT,3,6,A7,Z,11.4,25,262
AUDI,SUBCOMPACT,3,6,M6,Z,12.4,23,285
AUDI,SUBCOMPACT,3,6,A7,Z,11.6,24,267
AUDI,MID-SIZE,4,8,A7,Z,12.2,23,281
AUDI,MID-SIZE,4,8,A7,Z,12.2,23,281
AUDI,MID-SIZE,4,8,AS8,Z,12.8,22,300
AUDI,SUV - SMALL,3,6,AS8,Z,12.7,22,292
AUDI,SUBCOMPACT,2,4,A6,Z,9.1,31,209
AUDI,TWO-SEATER,2,4,A6,Z,9.1,31,209
AUDI,SUBCOMPACT,2,4,A6,Z,10.3,27,237
AUDI,TWO-SEATER,2,4,A6,Z,10.3,27,237
BENTLEY,SUBCOMPACT,4,8,AS8,Z,13.4,21,314
BENTLEY,SUBCOMPACT,6,12,AS8,Z,15.5,18,356
BENTLEY,SUBCOMPACT,4,8,AS8,Z,14.2,20,332
BENTLEY,SUBCOMPACT,6,12,AS8,Z,16.5,17,380
BENTLEY,SUBCOMPACT,6,12,AS8,Z,16.5,17,380
BENTLEY,MID-SIZE,6,12,AS8,Z,16.5,17,388
BENTLEY,MID-SIZE,6.8,8,AS8,Z,19,15,437
BMW,COMPACT,2,4,A8,Z,8.4,34,193
BMW,COMPACT,2,4,M6,Z,8.7,32,200
BMW,COMPACT,2,4,A8,Z,8.8,32,202
BMW,COMPACT,2,4,A8,D,6.7,42,181
BMW,STATION WAGON - SMALL,2,4,A8,D,6.7,42,181
BMW,COMPACT,2,4,A8,Z,8.4,34,193
BMW,COMPACT,2,4,M6,Z,8.7,32,200
BMW,COMPACT,2,4,A8,Z,9.1,31,209
BMW,FULL-SIZE,2,4,A8,Z,9.1,31,209
BMW,STATION WAGON - SMALL,2,4,A8,Z,9.1,31,209
BMW,COMPACT,3,6,A8,Z,9.6,29,221
BMW,COMPACT,3,6,M6,Z,10,28,230
BMW,COMPACT,3,6,A8,Z,9.9,29,228
BMW,COMPACT,3,6,M6,Z,10.3,27,237
BMW,FULL-SIZE,3,6,A8,Z,10.1,28,232
BMW,COMPACT,2,4,A8,Z,8.4,34,193
BMW,COMPACT,2,4,M6,Z,8.7,32,200
BMW,COMPACT,2,4,A8,Z,9.1,31,209
BMW,COMPACT,3,6,A8,Z,9.6,29,221
BMW,COMPACT,3,6,M6,Z,10,28,230
BMW,COMPACT,3,6,A8,Z,9.9,29,228
BMW,COMPACT,3,6,M6,Z,10.3,27,237
